Date,Keyword,Search_Volume
2025-04-01,Alo Yoga,40
2025-04-01,Coachella,5
2025-04-02,Alo Yoga,35
2025-04-02,Coachella,5
2025-04-03,Alo Yoga,37
2025-04-03,Coachella,6
2025-04-04,Alo Yoga,41
2025-04-04,Coachella,6
2025-04-05,Alo Yoga,49
2025-04-05,Coachella,8
2025-04-06,Alo Yoga,47
2025-04-06,Coachella,8
2025-04-07,Alo Yoga,42
2025-04-07,Coachella,7
2025-04-08,Alo Yoga,40
2025-04-08,Coachella,9
2025-04-09,Alo Yoga,43
2025-04-09,Coachella,11
2025-04-10,Alo Yoga,38
2025-04-10,Coachella,15
2025-04-11,Alo Yoga,36
2025-04-11,Coachella,37
2025-04-12,Alo Yoga,47
2025-04-12,Coachella,98
2025-04-13,Alo Yoga,45
2025-04-13,Coachella,100
2025-04-14,Alo Yoga,41
2025-04-14,Coachella,70
2025-04-15,Alo Yoga,38
2025-04-15,Coachella,33
2025-04-16,Alo Yoga,42
2025-04-16,Coachella,22
2025-04-17,Alo Yoga,41
2025-04-17,Coachella,20
2025-04-18,Alo Yoga,44
2025-04-18,Coachella,25
2025-04-19,Alo Yoga,42
2025-04-19,Coachella,42
2025-04-20,Alo Yoga,46
2025-04-20,Coachella,38
2025-04-21,Alo Yoga,42
2025-04-21,Coachella,22
2025-04-22,Alo Yoga,39
2025-04-22,Coachella,12
2025-04-23,Alo Yoga,35
2025-04-23,Coachella,8
2025-04-24,Alo Yoga,37
2025-04-24,Coachella,7
2025-04-25,Alo Yoga,37
2025-04-25,Coachella,6
2025-04-26,Alo Yoga,91
2025-04-26,Coachella,6
2025-04-27,Alo Yoga,100
2025-04-27,Coachella,6
2025-04-28,Alo Yoga,78
2025-04-28,Coachella,5
2025-04-29,Alo Yoga,73
2025-04-29,Coachella,4
2025-04-30,Alo Yoga,71
2025-04-30,Coachella,3
2025-05-01,Alo Yoga,73
2025-05-01,Coachella,3
2025-05-02,Alo Yoga,77
2025-05-02,Coachella,5
2025-05-03,Alo Yoga,79
2025-05-03,Coachella,4
2025-05-04,Alo Yoga,53
2025-05-04,Coachella,3
2025-05-05,Alo Yoga,48
2025-05-05,Coachella,3
2025-05-06,Alo Yoga,43
2025-05-06,Coachella,2
2025-05-07,Alo Yoga,49
2025-05-07,Coachella,2
2025-05-08,Alo Yoga,40
2025-05-08,Coachella,2
2025-05-09,Alo Yoga,38
2025-05-09,Coachella,2
2025-05-10,Alo Yoga,50
2025-05-10,Coachella,2
2025-05-11,Alo Yoga,52
2025-05-11,Coachella,2
2025-05-12,Alo Yoga,40
2025-05-12,Coachella,2
2025-05-13,Alo Yoga,39
2025-05-13,Coachella,2
2025-05-14,Alo Yoga,37
2025-05-14,Coachella,2
2025-05-15,Alo Yoga,38
2025-05-15,Coachella,2
2025-05-16,Alo Yoga,37
2025-05-16,Coachella,2
2025-05-17,Alo Yoga,44
2025-05-17,Coachella,2
2025-05-18,Alo Yoga,40
2025-05-18,Coachella,2
2025-05-19,Alo Yoga,37
2025-05-19,Coachella,2
2025-05-20,Alo Yoga,35
2025-05-20,Coachella,2
2025-05-21,Alo Yoga,33
2025-05-21,Coachella,2
2025-05-22,Alo Yoga,35
2025-05-22,Coachella,1
2025-05-23,Alo Yoga,34
2025-05-23,Coachella,2
2025-05-24,Alo Yoga,39
2025-05-24,Coachella,2
2025-05-25,Alo Yoga,42
2025-05-25,Coachella,2
2025-05-26,Alo Yoga,48
2025-05-26,Coachella,2
2025-05-27,Alo Yoga,36
2025-05-27,Coachella,2
2025-05-28,Alo Yoga,37
2025-05-28,Coachella,1
2025-05-29,Alo Yoga,41
2025-05-29,Coachella,1
2025-05-30,Alo Yoga,37
2025-05-30,Coachella,2
2025-05-31,Alo Yoga,41
2025-05-31,Coachella,2
